CLAVE,CODIGO_DEPARTAMENTO,CODIGO_SECRETARIA,CODIGO_MUNICIPIO,CODIGO_COLEGIO,DEPARTAMENTO_CODIGO
4436,19824,3777,19824,219824000061,19
4437,19824,3777,19824,219824000109,19
4438,19824,3777,19824,219824000125,19
4439,19824,3777,19824,219824000150,19
4440,19824,3777,19824,219824000206,19
4441,19824,3777,19824,219824001024,19
4442,19824,3777,19824,219824000222,19
4443,19824,3777,19824,219824000265,19
4444,19824,3777,19824,219824000371,19
4445,19824,3777,19824,219824000982,19
4446,54001,3802,54001,154001000087,54
4447,54001,3802,54001,154001004716,54
3623,73563,3815,73563,273563000534,73
3624,73563,3815,73563,273563000615,73
3625,73624,3815,73624,173624000015,73
3626,73624,3815,73624,173624001704,73
3627,73624,3815,73624,273624000389,73
3628,73624,3815,73624,273624000524,73
3629,73624,3815,73624,273624001181,73
3630,73624,3815,73624,273624000583,73
3631,52215,3798,52215,252215000175,52
3632,52215,3798,52215,252215000370,52
3633,52215,3798,52215,252215000361,52
3634,52215,3798,52215,252215000264,52
3635,52385,3798,52385,252418000332,52
3636,52385,3798,52385,252385005468,52
3637,52385,3798,52385,252385005392,52
3638,52385,3798,52385,252385000021,52
3639,52385,3798,52385,252418000103,52
3640,52385,3798,52385,252418000359,52
3641,52385,3798,52385,252418000375,52
3642,52385,3798,52385,252385000005,52
3643,52385,3798,52385,252385005422,52
3644,52585,3798,52585,252585000409,52
3645,52585,3798,52585,252585000247,52
3646,52585,3798,52585,252585000221,52
3647,52585,3798,52585,252585000093,52
3648,52585,3798,52585,252585000034,52
3649,52585,3798,52585,252585000395,52
3650,52585,3798,52585,252585000255,52
3651,52585,3798,52585,252585000158,52
3652,52585,3798,52585,252585000042,52
3653,52585,3798,52585,252585000271,52
3654,52585,3798,52585,252585000051,52
3655,52585,3798,52585,252585000107,52
3656,52585,3798,52585,252585000018,52
3657,52585,3798,52585,252585000239,52
3658,52585,3798,52585,252585000298,52
3659,52585,3798,52585,252585000077,52
3660,52051,3798,52051,252051000209,52
3661,52051,3798,52051,252051000306,52
3662,52051,3798,52051,252051000683,52
3663,52051,3798,52051,252051000675,52
3664,52051,3798,52051,252051000462,52
3665,52051,3798,52051,252051000527,52
3666,52051,3798,52051,252051000055,52
3667,52051,3798,52051,252051000667,52
3668,52435,3798,52435,352435000162,52
3669,52435,3798,52435,252435000320,52
3670,17001,3774,17001,117001000998,17
3671,17001,3774,17001,117001002176,17
3672,17001,3774,17001,117001002729,17
3673,17001,3774,17001,117001000611,17
3674,17001,3774,17001,117001006180,17
3675,52435,3798,52435,252435000036,52
3676,17001,3774,17001,117001005132,17
3677,17001,3774,17001,117001000572,17
3678,17001,3774,17001,217001001000,17
3679,17001,3774,17001,117001003822,17
3680,17001,3774,17001,117001002087,17
3681,27135,3789,27135,227361000662,27
3682,27135,3789,27135,127135000019,27
3683,27245,3789,27245,227245000523,27
3684,27245,3789,27245,127245000057,27
3685,27245,3789,27245,327245000030,27
3686,27150,3789,27150,227615002083,27
3687,27150,3789,27150,227615000668,27
3688,27150,3789,27150,227615001290,27
3689,27160,3789,27160,427787000014,27
3690,27205,3789,27205,227205000199,27
3691,27205,3789,27205,227205000296,27
3692,27205,3789,27205,127205000011,27
3693,27001,4382,27001,227001001072,27
3694,27001,4382,27001,227001003547,27
3695,27001,4382,27001,227001000009,27
3696,27001,4382,27001,227001001145,27
3697,27001,4382,27001,127001017560,27
3698,27001,4382,27001,227001001871,27
3699,27001,4382,27001,127001003127,27
3700,27099,3789,27099,227099000010,27
3701,27099,3789,27099,127099000210,27
3702,27001,4382,27001,227001001293,27
3703,27135,3789,27135,227135002580,27
3704,68276,3811,68276,268276000201,68
3705,68276,3811,68276,168276001891,68
3706,68276,3811,68276,168276000720,68
3707,68276,3811,68276,168276001050,68
3708,68276,3811,68276,268276000040,68
3709,68276,3811,68276,168276001912,68
3710,68276,3811,68276,168276002404,68
3711,68276,3811,68276,168276000410,68
3712,68276,3811,68276,168276001882,68
3713,68276,3811,68276,168276000151,68
3714,68276,3811,68276,168276001904,68
