CLAVE,CODIGO,NOMBRE,CODIGO_DEPARTAMENTO
504,25368,JERUSALN,25
505,25372,JUNN,25
506,25377,LA CALERA,25
507,25386,LA MESA,25
508,25394,LA PALMA,25
509,25398,LA PEA,25
510,25402,LA VEGA,25
511,25407,LENGUAZAQUE,25
512,25426,MACHET,25
513,25430,MADRID,25
514,25436,MANTA,25
515,25438,MEDINA,25
516,25473,MOSQUERA,25
517,25483,NARIO,25
518,25486,NEMOCN,25
519,25488,NILO,25
520,25489,NIMAIMA,25
521,25491,NOCAIMA,25
522,25506,VENECIA,25
523,25513,PACHO,25
524,25518,PAIME,25
525,25524,PANDI,25
526,25530,PARATEBUENO,25
527,25535,PASCA,25
528,25572,PUERTO SALGAR,25
529,25580,PUL,25
530,25592,QUEBRADANEGRA,25
531,25594,QUETAME,25
532,25596,QUIPILE,25
533,25599,APULO,25
534,25612,RICAURTE,25
535,25645,SAN ANTONIO DEL TEQUENDAMA,25
536,25649,SAN BERNARDO,25
537,25653,SAN CAYETANO,25
538,25658,SAN FRANCISCO,25
539,25662,SAN JUAN DE RIOSECO,25
540,25718,SASAIMA,25
541,25736,SESQUIL,25
542,25740,SIBAT,25
543,25743,SILVANIA,25
544,25745,SIMIJACA,25
545,25754,SOACHA,25
546,25758,SOP,25
547,25769,SUBACHOQUE,25
548,25772,SUESCA,25
549,25777,SUPAT,25
550,25779,SUSA,25
551,25781,SUTATAUSA,25
552,25785,TABIO,25
553,25793,TAUSA,25
554,25797,TENA,25
555,25799,TENJO,25
556,25805,TIBACUY,25
557,25807,TIBIRITA,25
558,25815,TOCAIMA,25
559,25817,TOCANCIP,25
560,25823,TOPAIP,25
561,25839,UBAL,25
562,25841,UBAQUE,25
563,25843,VILLA DE SAN DIEGO DE UBAT,25
564,25845,UNE,25
565,25851,TICA,25
566,25862,VERGARA,25
567,25867,VIAN,25
568,25871,VILLAGMEZ,25
569,25873,VILLAPINZN,25
570,25875,VILLETA,25
571,25878,VIOT,25
572,25885,YACOP,25
573,25898,ZIPACN,25
574,25899,ZIPAQUIR,25
575,27001,QUIBD,27
576,27006,ACAND,27
577,27025,ALTO BAUD,27
578,27050,ATRATO,27
579,27073,BAGAD,27
580,27075,BAHA SOLANO,27
581,27077,BAJO BAUD,27
582,27099,BOJAY,27
583,27135,EL CANTN DEL SAN PABLO,27
584,27150,CARMEN DEL DARIN,27
585,27160,CRTEGUI,27
586,27205,CONDOTO,27
587,27245,EL CARMEN DE ATRATO,27
588,27250,EL LITORAL DEL SAN JUAN,27
589,27361,ISTMINA,27
590,27372,JURAD,27
591,27413,LLOR,27
592,27425,MEDIO ATRATO,27
593,27430,MEDIO BAUD,27
594,27450,MEDIO SAN JUAN,27
595,27491,NVITA,27
596,27495,NUQU,27
597,27580,RO IR,27
598,27600,RO QUITO,27
599,27615,RIOSUCIO,27
600,27660,SAN JOS DEL PALMAR,27
601,27745,SIP,27
602,27787,TAD,27
603,27800,UNGUA,27
604,27810,UNIN PANAMERICANA,27
605,41001,NEIVA,41
606,41006,ACEVEDO,41
607,41013,AGRADO,41
608,41016,AIPE,41
609,41020,ALGECIRAS,41
610,41026,ALTAMIRA,41
611,41078,BARAYA,41
612,41132,CAMPOALEGRE,41
613,41206,COLOMBIA,41
614,41244,ELAS,41
615,41298,GARZN,41
616,41306,GIGANTE,41
617,41319,GUADALUPE,41
618,41349,HOBO,41
619,41357,QUIRA,41
620,41359,ISNOS,41
621,41378,LA ARGENTINA,41
622,41396,LA PLATA,41
623,41483,NTAGA,41
624,41503,OPORAPA,41
625,41518,PAICOL,41
626,41524,PALERMO,41
627,41530,PALESTINA,41
628,41548,PITAL,41
629,41551,PITALITO,41
630,41615,RIVERA,41
631,41660,SALADOBLANCO,41
632,41668,SAN AGUSTN,41
633,41676,SANTA MARA,41
634,41770,SUAZA,41
635,41791,TARQUI,41
636,41797,TESALIA,41
637,41799,TELLO,41
638,41801,TERUEL,41
639,41807,TIMAN,41
640,41872,VILLAVIEJA,41
641,41885,YAGUAR,41
642,44001,RIOHACHA,44
643,44035,ALBANIA,44
644,44078,BARRANCAS,44
645,44090,DIBULLA,44
646,44098,DISTRACCIN,44
647,44110,EL MOLINO,44
648,44279,FONSECA,44
649,44378,HATONUEVO,44
650,44420,LA JAGUA DEL PILAR,44
651,44430,MAICAO,44
652,44560,MANAURE,44
653,44650,SAN JUAN DEL CESAR,44
654,44847,URIBIA,44
655,44855,URUMITA,44
656,44874,VILLANUEVA,44
657,47001,SANTA MARTA,47
658,47030,ALGARROBO,47
659,47053,ARACATACA,47
660,47058,ARIGUAN,47
661,47161,CERRO DE SAN ANTONIO,47
662,47170,CHIVOLO,47
663,47189,CINAGA,47
664,47205,CONCORDIA,47
665,47245,EL BANCO,47
666,47258,EL PIN,47
667,47268,EL RETN,47
668,47288,FUNDACIN,47
669,47318,GUAMAL,47
670,47460,NUEVA GRANADA,47
671,47541,PEDRAZA,47
672,47545,PIJIO DEL CARMEN,47
673,47551,PIVIJAY,47
674,47555,PLATO,47
675,47570,PUEBLOVIEJO,47
676,47605,REMOLINO,47
677,47660,SABANAS DE SAN NGEL,47
678,47675,SALAMINA,47
679,47692,SAN SEBASTIN DE BUENAVISTA,47
680,47703,SAN ZENN,47
681,47707,SANTA ANA,47
682,47720,SANTA BRBARA DE PINTO,47
683,47745,SITIONUEVO,47
684,47798,TENERIFE,47
685,47960,ZAPAYN,47
686,47980,ZONA BANANERA,47
687,50001,VILLAVICENCIO,50
688,50006,ACACAS,50
689,50110,BARRANCA DE UPA,50
690,50124,CABUYARO,50
691,50150,CASTILLA LA NUEVA,50
692,50223,CUBARRAL,50
693,50226,CUMARAL,50
694,50245,EL CALVARIO,50
695,50251,EL CASTILLO,50
696,50270,EL DORADO,50
697,50287,FUENTE DE ORO,50
698,50313,GRANADA,50
699,50318,GUAMAL,50
700,50325,MAPIRIPN,50
701,50330,MESETAS,50
702,50350,LA MACARENA,50
703,50370,URIBE,50
704,50400,LEJANAS,50
705,50450,PUERTO CONCORDIA,50
706,50568,PUERTO GAITN,50
707,50573,PUERTO LPEZ,50
708,50577,PUERTO LLERAS,50
709,50590,PUERTO RICO,50
710,50606,RESTREPO,50
711,50680,SAN CARLOS DE GUAROA,50
712,50683,SAN JUAN DE ARAMA,50
713,50686,SAN JUANITO,50
714,50689,SAN MARTN,50
715,50711,VISTAHERMOSA,50
716,52001,PASTO,52
717,52019,ALBN,52
718,52022,ALDANA,52
719,52036,ANCUYA,52
720,52051,ARBOLEDA,52
721,52079,BARBACOAS,52
722,52083,BELN,52
723,52110,BUESACO,52
724,52203,COLN,52
725,52207,CONSAC,52
726,52210,CONTADERO,52
727,52215,CRDOBA,52
728,52224,CUASPUD CARLOSAMA,52
729,52227,CUMBAL,52
730,52233,CUMBITARA,52
243,15380,LA CAPILLA,15
244,15401,LA VICTORIA,15
245,15403,LA UVITA,15
246,15407,VILLA DE LEYVA,15
247,15425,MACANAL,15
248,15442,MARIP,15
249,15455,MIRAFLORES,15
250,15464,MONGUA,15
251,15466,MONGU,15
252,15469,MONIQUIR,15
253,15476,MOTAVITA,15
254,15480,MUZO,15
255,15491,NOBSA,15
256,15494,NUEVO COLN,15
257,15500,OICAT,15
258,15507,OTANCHE,15
259,15511,PACHAVITA,15
260,15514,PEZ,15
261,15516,PAIPA,15
262,15518,PAJARITO,15
263,15522,PANQUEBA,15
264,15531,PAUNA,15
265,15533,PAYA,15
266,15537,PAZ DE RO,15
267,15542,PESCA,15
268,15550,PISBA,15
269,15572,PUERTO BOYAC,15
